Country,Start date,End date
Austria,2020-03-16,2020-04-13
Belgium,2020-03-18,2020-05-04
Croatia,2020-03-18,2020-04-19
France,2020-03-17,2020-05-11
Germany,2020-03-23,2020-04-20
Greece,2020-03-23,2020-05-04
Hungary,2020-03-28,2020-04-10
Ireland,2020-03-12,2020-05-18
Italy,2020-03-09,2020-05-18
Lithuania,2020-03-16,2020-04-27
Poland,2020-03-13,2020-04-11
Portugal,2020-03-19,2020-04-02
Romania,2020-03-25,2020-05-12
Russia,2020-03-28,2020-04-30
Spain,2020-03-14,2020-05-09
United Kingdom,2020-03-23,
