index,pdelay
0,0.007009910563210055
1,0.04205946337926034
2,0.05801305293691081
3,0.07034082668600435
4,0.07154943195552332
5,0.08581097413584723
6,0.07928450568044476
7,0.07493352671017646
8,0.07686729514140682
9,0.07904278462654098
10,0.0628474740149867
11,0.05148658448150834
12,0.04471839497220208
13,0.03843364757070341
14,0.028764805414551606
15,0.026347594875513657
16,0.019095963258399806
17,0.020546289581822575
18,0.011844331641285956
19,0.009427121102248005
20,0.0096688421561518
21,0.006526468455402465
22,0.004109257916364515
23,0.0036258158085569255
24,0.0029006526468455403
25,0.0036258158085569255
26,0.0019337684312303602
27,0.00048344210780759005
28,0.00048344210780759005
29,0.0
30,0.0009668842156151801
31,0.00024172105390379503
32,0.00048344210780759005
33,0.0007251631617113851
34,0.0014503263234227702
35,0.00024172105390379503
36,0.00048344210780759005
37,0.0007251631617113851
38,0.00048344210780759005
39,0.0014503263234227702
40,0.0
41,0.0
42,0.0
43,0.0
44,0.00048344210780759005
45,0.0
46,0.00024172105390379503
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.00024172105390379503
